 TICKER, GIC INDUSTRY,IPO DATE, CODE, GIC GROUP, LOGOURL, SECTOR, EXCHANGE, DESCRIPTION, TYPE,ISIN, CURRENCY NAME, CURRENCY SYMBOL, CURRENCY CODE, ADDRESS, COUNTRYISO,LEI, UPDATED AT, WEBURL, FISCAL YEAR END, EMPLOYER ID NUMBER, PHONE, NAME,CIK, INTERNATIONAL DOMESTIC, GIC SUB INDUSTRY, GIC SECTOR, INDUSTRY, COUNTRY NAME, FULL TIME EMPLOYEES, STREET, CITY, STATE, COUNTRY,ZIP, MARKET CAPITALIZATION, MARKET CAPITALIZATION MLN,EBITDA,PE RATIO,PEG RATIO, WALL STREET TARGET PRICE, BOOK VALUE, DIVIDEND SHARE, DIVIDEND YIELD, EARNINGS SHARE,EPS ESTIMATE CURRENT YEAR,EPS ESTIMATE NEXT YEAR,EPS ESTIMATE NEXT QUARTER,EPS ESTIMATE CURRENT QUARTER, MOST RECENT QUARTER, PROFIT MARGIN, OPERATING MARGINTTM, RETURN ON ASSETSTTM, RETURN ON EQUITYTTM, REVENUETTM, REVENUE PER SHARETTM, QUARTERLY REVENUE GROWTHYOY, GROSS PROFITTTM, DILUTED EPSTTM, QUARTERLY EARNINGS GROWTHYOY, TRAILINGPE, FORWARDPE, PRICE SALESTTM, PRICE BOOKMRQ, ENTERPRISE VALUE, ENTERPRISE VALUE REVENUE, ENTERPRISE VALUE EBITDA, SHARES OUTSTANDING, SHARES FLOAT, PERCENT INSIDERS, PERCENT INSTITUTIONS, SHARES SHORT, SHARES SHORT PRIOR MONTH, SHORT RATIO, SHORT PERCENT OUTSTANDING, SHORT PERCENT FLOAT, BETA,52 WEEK HIGH,52 WEEK LOW,50 DAYMA,200 DAYMA, SHORT PERCENT
BBD-A,,,BBD-A,,https://eodhistoricaldata.com/img/logos/TO/BBD-A.png,Industrials,TO,"Bombardier Inc. engages in the manufacture and sale of business aircraft in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is headquartered in Dorval, Canada.",Common Stock,,Canadian Dollar,C$,CAD,"400 Côte-Vertu Road West, Dorval, QC, Canada, H4S 1Y9",CA,,1/2/2023,https://www.bombardier.com,December,,514 861 9481,Bombardier Inc,,,,,Aerospace & Defense,Canada,13400,400 Côte-Vertu Road West,Dorval,QC,Canada,H4S 1Y9,4914574336,4914.5743,488000000,,,,-38.735,0,0,-4.431,0,0,0,0,9/30/2022,-0.0251,0.0605,0.0183,0,6029000192,63.534,0.004,924000000,-4.431,0,0,23.5849,0.8382,0,11383552243,1.8881,15.7449,12349400,82545811,80.964,1.975,,,,,,3.0642,56.03,21.46,46.2834,35.5557,0
BBD-B,,,BBD-B,,https://eodhistoricaldata.com/img/logos/TO/BBD-B.png,Industrials,TO,"Bombardier Inc. engages in the manufacture and sale of business aircraft in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is headquartered in Dorval, Canada.",Common Stock,CA0977518616,Canadian Dollar,C$,CAD,"400 Côte-Vertu Road West, Dorval, QC, Canada, H4S 1Y9",CA,,1/3/2023,https://www.bombardier.com,December,,514 861 9481,Bombardier Inc,,,,,Aerospace & Defense,Canada,13400,400 Côte-Vertu Road West,Dorval,QC,Canada,H4S 1Y9,4986969600,4986.9696,488000000,,0,61,-38.735,0,0,-4.431,-1.64,2.04,0.19,-0.65,9/30/2022,-0.0251,0.0605,0.0183,0,6029000192,63.534,0.004,924000000,-4.431,0,0,24.2131,0.8508,0,11570346906,1.9191,16.0032,81519904,82545811,1.474,12.913,,,,,,3.0642,55.5,18.3,46.6066,33.5716,0.0133
BBD-PB,,,BBD-PB,,,Industrials,TO,"Bombardier Inc. engages in the manufacture and sale of business aircraft in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is headquartered in Dorval, Canada.",Common Stock,,Canadian Dollar,C$,CAD,"400 Côte-Vertu Road West, Dorval, QC, Canada, H4S 1Y9",CA,,1/2/2023,https://www.bombardier.com,December,,514 861 9481,Bombardier Inc Pref B,,,,,Aerospace & Defense,Canada,13400,400 Côte-Vertu Road West,Dorval,QC,Canada,H4S 1Y9,8904368128,8904.3681,488000000,,,,-38.735,0,0.0571,-4.431,0,0,0,0,9/30/2022,-0.0251,0.0605,0.0183,0,6029000192,63.534,0.004,924000000,-4.431,0,0,0,1.4056,0,37805117440,0,0,2371259904,82545811,0,2.742,,,,,,3.0642,18.3109,12.3015,16.8644,16.4145,0
BBD-PC,,,BBD-PC,,https://eodhistoricaldata.com/img/logos/TO/BBD-PC.png,Industrials,TO,"Bombardier Inc. engages in the manufacture and sale of business aircraft in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is headquartered in Dorval, Canada.",Preferred Stock,CA0977517055,Canadian Dollar,C$,CAD,"400 Côte-Vertu Road West, Dorval, QC, Canada, H4S 1Y9",CA,,1/2/2023,https://www.bombardier.com,December,,514 861 9481,Bombardier Inc Pref C,,,,,Aerospace & Defense,Canada,13400,400 Côte-Vertu Road West,Dorval,QC,Canada,H4S 1Y9,4929920512,4929.9205,488000000,,,,-38.735,0,0.0868,-4.431,0,0,0,0,9/30/2022,-0.0251,0.0605,0.0183,0,6029000192,63.534,0.004,924000000,-4.431,0,0,0,0.7939,0,54235492352,0,0,2371259904,82545811,0,0.035,,,,,,3.0642,18.23,15.4464,17.621,17.5619,0
BBD-PD,,,BBD-PD,,,Industrials,TO,"Bombardier Inc. engages in the manufacture and sale of business aircraft in Europe, North America, the Asia Pacific, and internationally. It provides new aircraft, specialized aircraft solutions, and pre-owned aircraft. The company also offers aftermarket services, including parts, smart services, service centers, training, and technical publications. It serves multinational corporations, charter and fractional ownership providers, governments, and private individuals. The company was incorporated in 1902 and is headquartered in Dorval, Canada.",Common Stock,CA0977516065,Canadian Dollar,C$,CAD,"400 Côte-Vertu Road West, Dorval, QC, Canada, H4S 1Y9",CA,,1/1/2023,https://www.bombardier.com,December,,514 861 9481,Bombardier Inc Pref D,,,,,Aerospace & Defense,Canada,13400,400 Côte-Vertu Road West,Dorval,QC,Canada,H4S 1Y9,10717344768,10717.3448,488000000,,,,-38.735,0,0.0514,-4.431,0,0,0,0,9/30/2022,-0.0251,0.0605,0.0183,0,6029000192,63.534,0.004,924000000,-4.431,0,0,0,1.7211,0,45684989952,0,0,2371259904,82545811,0,4.28,,,,,,3.0642,24.23,14.883,21.7986,20.2034,0
BBTV,,,BBTV,,https://eodhistoricaldata.com/img/logos/TO/BBTV.png,Communication Services,TO,"BBTV Holdings Inc., a media and technology company, provides end-to-end management, distribution, and monetization solutions through the VISO platform to individual content creators and media companies. Its Base solution includes content optimization and discovery to increase content viewership, engagement, and performance; collaboration and fan engagement to connect the community of creators with each other; audience development and educational services comprises resources for influencers to stay informed and make decisions about their content; analytics and insights; partner experience that provides support for influencers to address their needs, including reporting, payments, and support; BBTV Fast Pay, which provides early payment of revenue to content creators; and Pay to Crypto enables content creators to choose their form of payment in cryptocurrencies, including Bitcoin, Ethereum, and USD Stablecoin. The company also offers Plus solutions, which include direct advertising sales; content management products consisting of rights management solution that helps to identify, claim, and manage fan uploaded copies of influencers' content; and content management solutions. In addition, it develops and publishes mobile gaming apps. The company was founded in 2005 and is headquartered in Vancouver, Canada.",Common Stock,CA05551N1015,Canadian Dollar,C$,CAD,"1205 Melville Street, Vancouver, BC, Canada, V6E 0A6",CA,,1/3/2023,https://www.bbtv.com,December,,604 900 5202,BBTV Holdings Inc,,,,,Internet Content & Information,Canada,284,1205 Melville Street,Vancouver,BC,Canada,V6E 0A6,11386625,11.3866,-33011000,,,1.75,10.032,0,0,-1.751,-2.3,-2.11,-0.46,-0.57,9/30/2022,-0.0938,-0.1213,-0.0855,-0.1734,432628992,20.497,-0.161,39361000,-1.751,0,0,0,0.0298,0.0598,51430542,0.1189,-1.3453,15075700,12927066,18.871,8.036,,,,,,1.0669,3.53,0.43,0.6426,1.3747,0.2217
BBU-UN,,,BBU-UN,,https://eodhistoricaldata.com/img/logos/TO/BBU-UN.png,Industrials,TO,"Brookfield Business Partners L.P. is a private equity firm specializes in acquisition. The firm typically invests in business services, construction, energy, and industrials sector. It prefers to take majority stake in companies. The firm seeks returns of at least 15% on its investments. Brookfield Business Partners L.P. is based in Hamilton, Bermuda. Brookfield Business Partners L.P. operates as a subsidiary of Brookfield Asset Management Inc.",Common Stock,BMG162341090,Canadian Dollar,C$,CAD,"73 Front Street, Hamilton, Bermuda, HM 12",CA,,1/3/2023,https://bbu.brookfield.com,December,,441 294 3309,Brookfield Business Partners L.P,,,,,Conglomerates,Canada,90000,73 Front Street,Hamilton,,Bermuda,HM 12,1716460416,1716.4604,5319000064,38.3417,0,43.29,6.14,0.25,0.0147,0.6,0,1.31,0,0,9/30/2022,0.0006,0.0497,0.0252,0.0282,56317001728,259.199,0.224,3478000000,0.6,-0.966,38.3417,1.0562,0.0304,1.0011,58891438928,1.0457,10.0859,74612496,54794227,2.004,78.426,,,,,,1.301,61.0401,20.94,26.156,29.0811,0.0016
BBUC,,,BBUC,,,Financial Services,TO,"Brookfield Business Corporation focuses on healthcare, construction, and wastewater services in the United States, Europe, Australia, the United Kingdom, Canada, and Brazil. It operates through three segments: Business Services, Infrastructure Services, and Industrials. The company operates 42 hospitals; offers construction services for office, residential, hospitality and leisure, social infrastructure, retail, and mixed-use properties; and provides nuclear technology services, such as fuel, maintenance services, engineering solutions, instrumentation and control systems, and manufactured components for nuclear power plants. It also engages in the collection, treatment, and distribution of water and wastewater to the residential and governmental customers. The company was incorporated in 2021 and is headquartered in New York, New York.",Common Stock,CA11259V1067,Canadian Dollar,C$,CAD,"250 Vesey Street, New York, NY, United States, 10281-1065",CA,,1/3/2023,https://www.brookfield.com,December,,212 417 7000,Brookfield Business Corp,,,,,Asset Management,Canada,0,250 Vesey Street,New York,NY,United States,10281-1065,1855990528,1855.9905,1228999936,1.8184,,,1.796,0.125,0.013,13.99,0,0,0,0,6/30/2022,0.0756,0.0696,0.0205,0.3619,9962000384,136.549,0.241,866000000,13.99,0,1.8184,0,0.1939,11.0407,19402352813,1.9476,13.3258,72955600,25333827,0.475,90.765,,,,,,,43.9138,24.1,29.224,32.4875,0.0009
BCE,,,BCE,,https://eodhistoricaldata.com/img/logos/TO/BCE.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Common Stock,CA05534B7604,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/2/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,54248935424,54248.9354,8679999488,19.2524,2.4984,66.61,20.567,3.635,0.0619,3.09,3.39,3.54,0.78,0.84,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.09,-0.06,19.2524,17.4825,2.3114,3.0017,90905706000,3.7966,9.2525,911900032,911404584,0.023,48.11,,,,,,0.4473,70.9328,54.8487,61.8414,64.5856,0.0362
BCE-PA,,,BCE-PA,,https://eodhistoricaldata.com/img/logos/TO/BCE-PA.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7943,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc Pref AA,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,61779214336,61779.2143,8679999488,5.2716,0,,20.567,3.635,0.0706,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.2716,0,2.5288,0,0,0,0,898024000,911404584,0,42.599,,,,,,0.4473,20.687,16.3346,17.1498,18.3615,0
BCE-PB,,,BCE-PB,,https://eodhistoricaldata.com/img/logos/TO/BCE-PB.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B6952,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc Pref AB,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,66218803200,66218.8032,8679999488,5.6049,,,20.567,3.635,0.0521,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.6049,0,2.7976,0,48431849472,0,0,898024000,911404584,0,36.544,,,,,,0.4473,20.2401,16.5148,18.1958,18.7236,0
BCE-PC,,,BCE-PC,,https://eodhistoricaldata.com/img/logos/TO/BCE-PC.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7869,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc Pref AC,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,62046273536,62046.2735,8679999488,5.6142,,,20.567,3.635,0.0602,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.6142,0,2.6013,0,49247019008,0,0,898024000,911404584,0,37.481,,,,,,0.4473,20.9988,17.0241,18.1376,18.6987,0.0003
BCE-PD,,,BCE-PD,,https://eodhistoricaldata.com/img/logos/TO/BCE-PD.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B6879,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,Bce Inc Pref D,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,67038035968,67038.036,8679999488,5.6512,,,20.567,3.635,0.0519,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.6512,0,2.8135,0,48295989248,0,0,898024000,911404584,0,22.748,,,,,,0.4473,20.2446,16.8678,18.2706,18.6968,0
BCE-PE,,,BCE-PE,,https://eodhistoricaldata.com/img/logos/TO/BCE-PE.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7521,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,Bce Inc Pref E,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,65834049536,65834.0495,8679999488,5.5988,,,20.567,3.635,0.0524,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.5988,0,2.7813,0,47915577344,0,0,898024000,911404584,0,23.327,,,,,,0.4473,20.2018,16.8464,18.1732,18.58,0
BCE-PF,,,BCE-PF,,https://eodhistoricaldata.com/img/logos/TO/BCE-PF.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7455,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc Pref AF,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,60866281472,60866.2815,8679999488,4.9846,,,20.567,3.635,0.0598,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,4.9846,0,2.5538,0,49382879232,0,0,898024000,911404584,0,36.384,,,,,,0.4473,20.6529,14.7541,15.9039,17.1311,0
BCE-PG,,,BCE-PG,,https://eodhistoricaldata.com/img/logos/TO/BCE-PG.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7372,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,Bce Inc Pref G,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,59009986560,59009.9866,8679999488,4.6636,,,20.567,3.635,0.0558,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,4.6636,0,2.5053,0,48594886656,0,0,898024000,911404584,0,45.49,,,,,,0.4473,20.8423,13.8892,14.9618,16.0682,0
BCE-PH,,,BCE-PH,,https://eodhistoricaldata.com/img/logos/TO/BCE-PH.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7299,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,Bce Inc Pref H,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,66725933056,66725.9331,8679999488,5.6173,0,,20.567,3.635,0.0522,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.6173,0,2.8112,0,48250703872,0,0,898024000,911404584,0,18.456,,,,,,0.4473,20.2087,16.5247,18.1618,18.5517,0
BCE-PI,,,BCE-PI,,,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. It operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communications products and services. The Bell Wireline segment provides data, including Internet access and Internet protocol television; and local telephone, long distance, satellite TV service, and connectivity, as well as other communications services and products. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers, and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, and streaming services; and digital media, radio broadcasting, out-of-home advertising services. It owns and operates approximately 35 conventional TV stations; 27 specialty and four Pay TV channels; 3 direct-to-consumer streaming services; 109 licensed radio stations; and websites. The company was formerly known as Bell Canada Enterprises Inc. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B7117,Canadian Dollar,C$,CAD,"Building A, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,BCE Inc Pref AI,,,,,Diversified Telecommunication Services,Canada,50704,Building A,Verdun,QC,Canada,H3E 3B3,10162904064,10162.9041,8383000064,4.6299,,,21.078,3.458,0.2292,3.283,0,0,0,0,9/30/2022,0.1329,0.2272,0.0518,0.1325,23342000128,25.787,0.008,9802000000,3.283,0.085,4.6299,0,0,0,0,0,0,0,908236036,0,29.629,,,,,,0.3377,20.4191,13.9489,14.918,16.0229,0
BCE-PJ,,,BCE-PJ,,https://eodhistoricaldata.com/img/logos/TO/BCE-PJ.png,Communication Services,TO,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. The company operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communication products and services, as well as consumer electronics products. The Bell Wireline segment offers data, including internet access and Internet protocol television (IPTV), local telephone, and long distance services, as well as other communication services and products; and satellite TV service and connectivity servuces. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, streaming services, digital media services, radio broadcasting services, and out-of-home advertising services. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Preferred Stock,CA05534B6531,Canadian Dollar,C$,CAD,"1 Carrefour Alexander-Graham-Bell, Verdun, QC, Canada, H3E 3B3",CA,,1/3/2023,https://www.bce.ca,December,,800 339 6353,Bce Inc Pref J,,,,,Telecom Services,Canada,49781,1 Carrefour Alexander-Graham-Bell,Verdun,QC,Canada,H3E 3B3,66288898048,66288.898,8679999488,5.5957,,,20.567,3.635,0.0524,3.24,0,0,0,0,9/30/2022,0.1234,0.2305,0.0511,0.1298,23943999488,26.293,0.032,10086000000,3.24,-0.06,5.5957,0,2.7746,0,48160129024,0,0,898024000,911404584,0,51.861,,,,,,0.4473,20.1331,16.3719,18.1404,18.5535,0
