 TICKER, NAME, TITLE, YEAR BORN
XOM,Mr. Leonard M. Fox,"VP, Principal Accounting Officer & Controller",1964
XOM,Ms. Jennifer K. Driscoll,VP of Investor Relations,1966
XOM,Mr. Craig S. Morford,"VP, Sec. & Gen. Counsel",1959
XOM,Ms. Suzanne M. McCarron,VP of Public & Gov. Affairs,NA
XOM,Ms. Tracey C. Gunnlaugsson,VP of HR,NA
V,Mr. Alfred Francis Kelly Jr.,Chairman & CEO,1958
V,Mr. Ryan M. McInerney,Pres,1975
V,Mr. Vasant M. Prabhu,Vice Chair & CFO,1960
V,Mr. Rajat  Taneja,Pres of Technology,1964
V,Ms. Kelly Mahon Tullier,"Vice Chair, Chief People & Admin. Officer and Corp. Sec.",1966
V,Mr. Oliver  Jenkyn,Group Pres & Regional Pres of North America,1973
V,Mr. Jack  Forestell,Group Pres & Chief Product Officer,NA
V,Mr. Peter  Andreski,"Sr. VP, Global Corp. Controller & Chief Accounting Officer",1973
V,Ms. Jennifer  Como,Head of Investor Relations,NA
V,Ms. Julie B. Rottenberg,Gen. Counsel,1968
JPM,Mr. James  Dimon,Chairman & CEO,1956
JPM,Mr. Daniel Eduardo Pinto,Pres & COO,1963
JPM,Mr. Jeremy  Barnum,Chief Financial Officer,1973
JPM,Ms. Mary Callahan Erdoes,Chief Exec. Officer of Asset & Wealth Management,1967
JPM,Ms. Jennifer A. Piepszak,Co-Chief Exec. Officer of Consumer & Community Banking,1971
JPM,Mr. Reginald  Chambers J.D.,CFO & Head of Strategy for Commercial Banking,NA
JPM,Ms. Elena A. Korablina,"MD, Corp. Controller & Principal Accounting Officer",1974
JPM,Ms. Lori Ann Beer,Global Chief Information Officer,1968
JPM,Mr. Mikael  Grubb,Head of Investor Relations,NA
JPM,Ms. Stacey  Friedman,Exec. VP & Gen. Counsel,1969
TSLA,Mr. Elon R. Musk,"Technoking of Tesla, CEO & Director",1972
TSLA,Mr. Zachary John Planell Kirkhorn,Master of Coin & CFO,1985
TSLA,Mr. Andrew D. Baglino,Sr. VP of Powertrain & Energy Engineering,1981
TSLA,Mr. Vaibhav  Taneja,Corp. Controller & Chief Accounting Officer,1978
TSLA,Mr. Martin  Viecha,Sr. Director for Investor Relations,NA
TSLA,Mr. Alan  Prescott,VP of Legal,1979
TSLA,Mr. Dave  Arnold,Sr. Director of Global Communications,NA
TSLA,Brian  Scelfo,Sr. Director of Corp. Devel.,NA
TSLA,Mr. Jeffrey B. Straubel,Sr. Advisor,1976
TSLA,Mr. Franz  von Holzhausen,Chief Designer,NA
WMT,Mr. C. Douglas McMillon,"Pres, CEO & Director",1966
WMT,Mr. Suresh  Kumar,"Global CTO, Chief Devel. Officer & Exec. VP",1965
WMT,Ms. Judith  McKenna,"Exec. VP, Pres & CEO of Walmart International",1967
WMT,Mr. John R. Furner,"Exec. VP, CEO & Pres of Walmart US",1975
WMT,Mr. M. Brett Biggs,Advisor,1968
WMT,Ms. Kathryn J. McLay,"Exec. VP, Pres & CEO of Sam's Club Division",1974
WMT,Mr. John David Rainey,Exec. VP & Chief Financial Officer,1971
WMT,Mr. Christopher  Nicholas,Exec. VP & COO,NA
WMT,Ms. Rachel L. Brand,"Exec. VP of Global Governance, Chief Legal Officer & Corp. Sec.",1974
WMT,Mr. Matthew  Miner,Exec. VP and Global Chief Ethics & Compliance Officer,NA
TSM,Dr. C. C.  Wei,Vice Chairman & CEO,NA
TSM,Mr. Jen-Chau  Huang,VP & CFO,NA
TSM,Mr. Y. P. Chin,Sr. VP of Operations,NA
TSM,Dr. Horng-Dar  Lin,VP of Corp. Information Technology & Chief Information Officer,NA
TSM,Jeff  Su,Director of Investor Relations,NA
TSM,Ms. Sylvia  Fang,"VP of Legal, Gen. Counsel, Corp. Governance Officer & Sec.",NA
TSM,Ms. Elizabeth  Sun,Sr. Director of Corp. Communication Division,NA
TSM,Ms. Li Mei  He Ho,Sr. VP of HR,NA
TSM,Dr. Wei-Jen  Lo,Sr. VP of R&D,NA
TSM,Mr. Richard B. Cassidy II,Sr. VP of Corp. Strategy Office and CEO & Pres of TSMC AZ,NA
LLY,Mr. David A. Ricks,"Chairman, CEO & Pres",1968
LLY,Ms. Anat  Ashkenazi,Sr. VP & CFO,1972
LLY,"Dr. Daniel M. Skovronsky M.D., Ph.D.","Sr. VP, Chief Scientific & Medical Officer and Pres of Lilly Research Labs",1974
LLY,Mr. Diogo  Rau,Sr. VP & Chief Information and Digital Officer,NA
LLY,Mr. Jacob S. Van Naarden,"Sr. VP, CEO of Loxo Oncology & Pres of Lilly Oncology",1985
LLY,Mr. Donald A. Zakrowski,Chief Accounting Officer & VP of Fin.,NA
LLY,Mr. Martin  Bott MIBS,VP of Fin. & Special Projects,1963
LLY,Ms. Anat  Hakim J.D.,"Sr. VP, Gen. Counsel & Sec.",1969
LLY,Mr. Alonzo  Weems,Sr. VP and Chief Ethics & Compliance Officer,NA
LLY,Ms. Leigh Ann Pusey,Sr. VP of Corp. Affairs & Communications,1963
PG,Mr. Jon R. Moeller,"Pres, CEO & Chairman",1964
PG,Mr. Andre  Schulten,Chief Financial Officer,1971
PG,Mr. Shailesh G. Jejurikar,Chief Operating Officer,1967
PG,Ms. R. Alexandra Keith,Chief Exec. Officer of Beauty & Exec. Sponsor of Corp. Sustainability,1968
PG,Ms. Ma. Fatima de Vera Francisco,"Chief Exec. Officer of Baby, Feminine & Family Care and Exec. Sponsor for Gender Equality",1968
PG,Mr. Matthew W. Janzaruk,Sr. VP & Chief Accounting Officer,1974
PG,Mr. Vittorio  Cretella,Chief Information Officer,NA
PG,Mr. John T. Chevalier,Sr. VP of Investor Relations,NA
PG,Ms. Susan Street Whaley,Chief Legal Officer & Sec.,1974
PG,Mr. Ken  Patel,Chief Ethics & Compliance Officer and Chief Patent Counsel,NA
NVDA,Mr. Jen-Hsun  Huang,"Co-Founder, CEO, Pres & Director",1963
NVDA,Ms. Colette M. Kress,Exec. VP & CFO,1967
NVDA,Ms. Debora  Shoquist,Exec. VP of Operations,1955
NVDA,Mr. Timothy S. Teter,"Exec. VP, Gen. Counsel & Sec.",1967
NVDA,Mr. Ajay K. Puri,Exec. VP of Worldwide Field Operations,1955
NVDA,Mr. Chris A. Malachowsky,Co-Founder,NA
NVDA,Mr. Donald F. Robertson Jr.,VP & Chief Accounting Officer,1969
NVDA,Prof. William J. Dally,Chief Scientist & Sr. VP of Research,1961
NVDA,"Ms. Simona  Jankowski C.F.A., J.D.",VP of Investor Relations,NA
NVDA,Mr. Robert  Sherbin,VP of Corp. Communications,1959
CVX,Mr. Michael K. Wirth,Chairman & CEO,1961
CVX,Mr. Pierre R. Breber,VP & CFO,1964
CVX,Mr. Mark A. Nelson,"Exec. VP of Strategy, Policy & Devel.",1963
CVX,Mr. James William Johnson,Exec. VP & Sr. Advisor,1959
CVX,Ms. Eimear P. Bonner,"VP, CTO & Pres of Chevron Technical Center",1975
CVX,Mr. R. Hewitt Pate,VP & Gen. Counsel,1963
CVX,Ms. Rhonda J. Morris,VP & Chief HR Officer,1965
CVX,Mr. James  Seutloadi,Chairman & GM of Corp. & Gov. Affairs of Caltex Oil South Africa,NA
CVX,Mr. Nigel  Hearne,"Exec. VP of Oil, Products & Gas",1968
CVX,Mr. Clay  Neff,Pres of International Exploration & Production,1962
MA,Mr. Michael  Miebach,"CEO, Pres & Director",1968
MA,Mr. Sachin  Mehra,Chief Financial Officer,1971
MA,Mr. Craig E. Vosburg,Chief Product Officer,1967
MA,Mr. Michael B. G. Froman,Vice Chairman & Pres of Strategic Growth,1964
MA,Mr. Timothy Henry Murphy,Chief Admin. Officer,1968
MA,Mr. Warren  Kneeshaw,Exec. VP of Investor Relations,NA
MA,Ambassador Richard R. Verma J.D.,Chief Legal Officer & Head of Global Public Policy,1969
MA,Mr. Raja  Rajamannar,Chief Marketing & Communications Officer and Pres of Healthcare,1962
MA,Mr. Greg  Ulrich,"Exec. VP of Strategy, Corp. Devel. and M&A",NA
MA,Mr. Michael  Fraccaro,Chief People Officer,1966
HD,Mr. Edward P. Decker,"Chairman, Pres & CEO",1963
HD,Mr. Richard V. McPhail,Exec. VP & CFO,1971
HD,Mr. Matthew A. Carey,Exec. VP of Customer Experience,1965
HD,Ms. Ann-Marie  Campbell,Exec. VP of U.S. Stores & International Operations,1966
HD,Mr. Haydn  Chilcott,Sr. VP of Operations,NA
HD,Mr. Stephen L. Gibbs,"VP, Chief Accounting Officer & Corp. Controller",1972
HD,Mr. Fahim  Siddiqui,Exec. VP & Chief Information Officer,1966
HD,Ms. Isabel  Janci,VP of Investor Relations & Treasurer,NA
HD,Ms. Teresa Wynn Roseborough,"Exec. VP, Gen. Counsel & Corp. Sec.",1959
HD,Sara  Gorman,Sr. Director of Corp. Communications,NA
META,Mr. Mark Elliot Zuckerberg,"Founder, Chairman & CEO",1984
META,Mr. Christopher K. Cox,Chief Product Officer,1983
META,Mr. David M. Wehner,Chief Strategy Officer,1969
META,Ms. Marne L. Levine,Chief Bus. Officer,1971
META,Ms. Susan J. Li,Chief Financial Officer,1986
META,Mr. Javier  Olivan,Chief Operating Officer,1977
META,Ms. Susan Jannifer Simone Taylor,Chief Accounting Officer,1969
META,Mr. Andrew  Bosworth,Chief Technology Officer,NA
META,Mr. Atish  Banerjea,Chief Information Officer,1966
META,Ms. Deborah T. Crawford,VP of Investor Relations,NA
NVO,Mr. Lars Fruergaard Jorgensen,"Pres, CEO & Member of Management Board",1966
NVO,Mr. Karsten Munk Knudsen,"Exec. VP, CFO & Member of the Management Board",1971
NVO,Mr. Henrik Ehlers Wulff,"Exec. VP, Head of Product Supply, Quality & IT and Member of the Management Board",1970
NVO,Ms. Camilla  Sylvest,"Exec. VP, Head of Commercial Strategy & Corp. Affairs and Member of the Management Board",1972
NVO,Dr. Martin Holst Lange,"Exec. VP, Head of Devel. & Member of the Management Board",1970
NVO,Ms. Monique  Carter,"Exec. VP, Head of People & Organisation and Member of Management Board",1973
NVO,Dr. Marcus  Schindler Ph.D.,"EVP, Head of Research & Early Devel., Chief Scientific Officer & Member of the Management Board",1966
NVO,Mr. Maziar Mike Doustdar,"Exec. VP, Head of International Operations & Member of the Management Board",1970
NVO,Mr. Douglas J. Langa,"Exec. VP, Head of North America Operations & Member of Management Board",1966
NVO,Mr. Ludovic  Helfgott,"Exec. VP, Head of Rare Disease & Member of Management Board",1974
PFE,"Dr. Albert  Bourla D.V.M., DVM, Ph.D.",Chairman & CEO,1962
PFE,Mr. Frank A. D'Amelio,CFO & Exec. VP,1958
PFE,"Dr. Mikael  Dolsten M.D., Ph.D.","Chief Scientific Officer and Pres of Worldwide Research, Devel. & Medical",1958
PFE,Mr. Douglas M. Lankler,Exec. VP & Gen. Counsel,1966
PFE,Mr. John D. Young,Advisor,1965
PFE,Ms. Angela  Hwang,Chief Commercial Officer & Pres of Global Biopharmaceuticals Bus.,1966
PFE,Mr. David M. Denton,Chief Financial Officer & Exec. VP,1965
PFE,Ms. Jennifer B. Damico,"Sr. VP, Controller & Principal Accounting Officer",1968
PFE,Ms. Lidia L. Fonseca,Exec. VP and Chief Digital & Technology Officer,1969
PFE,Mr. Christopher J. Stevo CFA,Sr. VP & Chief Investor Relations Officer,NA
ABBV,Mr. Richard A. Gonzalez,Chairman & CEO,1954
ABBV,Mr. Robert A. Michael,Vice Chairman & Pres,1970
ABBV,Ms. Laura J. Schumacher,Vice Chairman of External Affairs & Chief Legal Officer,1963
ABBV,Mr. Jeffrey Ryan Stewart,Exec. VP & Chief Commercial Officer,1969
ABBV,Mr. Scott T. Reents,Exec. VP & CFO,1967
ABBV,Dr. Azita  Saleki-Gerhardt Ph.D.,Exec. VP of Operations,1963
ABBV,Dr. Thomas J. Hudson,Sr. VP of R&D and Chief Scientific Officer,1962
ABBV,Ms. Elizabeth  Shea,VP of Investor Relations,NA
ABBV,Mr. Perry C. Siatis,"Exec. VP, Gen. Counsel & Sec.",NA
ABBV,Mr. Timothy J. Richmond,Exec. VP & Chief HR Officer,1966
MRK,Mr. Robert M. Davis J.D.,CEO & Chairman,1967
MRK,Ms. Caroline  Litchfield,Exec. VP & CFO,1969
MRK,Mr. Richard R. DeLuca Jr.,Exec. VP & Pres of Merck Animal Health,1963
MRK,"Dr. Dean Y. Li M.D., Ph.D.",Exec. VP & Pres of Merck Research Laboratories,1962
MRK,Mr. David Michael Williams,Exec. VP and Chief Information & Digital Officer,1969
MRK,Mr. Peter  Dannenbaum,VP of Investor Relations,NA
MRK,Ms. Jennifer L. Zachary,Exec. VP & Gen. Counsel,1978
MRK,Lisa  LeCointe-Cephas,Sr. VP and Chief Ethics & Compliance Officer,1982
MRK,Ms. Jennifer  Mauer,VP of Global Communications,NA
MRK,Ms. Cristal N. Downing,Exec. VP and Chief Communications & Public Affairs Officer,1969
KO,Mr. James Robert B. Quincey,Chairman & CEO,1965
KO,Mr. John  Murphy,Pres & CFO,1962
KO,Mr. Manuel Arroyo Prieto,Chief Marketing Officer,1968
KO,Mr. Brian John Smith,Sr. Exec.,1955
KO,Mr. Mario Alfredo  Rivera Garcia,Pres of North America Operating Unit,1962
KO,Mr. Mark  Randazza,"VP, Assistant Controller & Chief Accounting Officer",1966
KO,Ms. Nancy W. Quan,Sr. VP & Chief Technical and Innovation Officer,1966
KO,Mr. Neeraj  Tolmare,Global Chief Information Officer,NA
KO,Mr. Timothy K. Leveridge,VP & Investor Relations Officer,1970
KO,Ms. Monica Howard Douglas,Sr. VP & Gen. Counsel,1973
BAC,Mr. Brian Thomas Moynihan,Chairman & CEO,1959
BAC,Mr. Alastair M. Borthwick,Chief Financial Officer,1969
BAC,Mr. Matthew M. Koder,Exec. Officer & Pres of Global Corp. and Investment Banking,1972
BAC,Mr. Paul M. Donofrio,Vice Chairman,1960
BAC,Mr. James P. DeMare,Exec. Officer & Pres of Global Markets,1970
BAC,Mr. Thomas M. Scrivener,Chief Operations Exec.,1972
BAC,Mr. Christopher M. Hyzy,Chief Investment Officer,NA
BAC,Mr. Rudolf A. Bless,Chief Accounting Officer,NA
BAC,Mr. Aditya  Bhasin,Chief Technology & Information Officer,1974
BAC,Mr. Darrin Steve Boland,Chief Admin. Officer,1969
PEP,Mr. Ramon Luis Laguarta,Chairman & CEO,1964
PEP,Mr. Hugh F. Johnston,"Vice Chairman, Exec. VP & CFO",1962
PEP,Mr. Kirk  Tanner,Chief Exec. Officer of PepsiCo Beverages North America,1969
PEP,Mr. Silviu Yeugeniu Popovici,Chief Exec. Officer of Europe,1968
PEP,Mr. Steven C. Williams,Chief Exec. Officer of PepsiCo Foods North America,1967
PEP,Mr. Gregg  Roden,Exec. VP & COO,NA
PEP,Mr. Rene  Lammers,Exec. VP & Chief Science Officer,NA
PEP,Mr. Seth  Cohen,Sr. VP & Global Chief Information Officer,NA
PEP,Mr. David J. Flavell,"Exec. VP, Gen. Counsel & Corp. Sec.",1972
PEP,Ms. Jane Caroline Wakely,"Exec. VP, Chief Consumer & Marketing Officer and Chief Growth Officer of International Foods",1972
BABA,Mr. Joseph C.  Tsai,Exec. Vice Chairman,1964
BABA,Mr. Yong  Zhang,CEO & Exec. Chairman,1972
BABA,Mr. J. Michael  Evans,Pres & Director,1958
BABA,Mr. Hong  Xu,Chief Financial Officer,1973
BABA,Ms. Joan  Zhou,Investment Director,NA
BABA,Mr. Yuen Jen Yao,Sr. VP & Head of Corp. Fin.,NA
BABA,Mr. Li  Cheng,Chief Technology Officer,1975
BABA,Mr. Robert  Lin,Investor Relations,NA
BABA,Ms. Siying  Yu,Gen. Counsel,1974
BABA,Ms. Jennifer Kuperman  Johnson,Head of International Corp. Communications,1974
AVGO,Mr. Hock E. Tan,"CEO, Pres & Exec. Director",1952
AVGO,Ms. Kirsten M. Spears,CFO & Chief Accounting Officer,1964
AVGO,Dr. Charlie B. Kawwas Ph.D.,Chief Operating Officer,1971
AVGO,Mr. Mark D. Brazeal,Chief Legal & Corp. Affairs Officer,1968
AVGO,Mr. Alan  Davidson,Chief Information Officer,NA
AVGO,Ji  Yoo,Director of Investor Relations,NA
AVGO,Mr. Frank  Ostojic,Sr. VP & GM of ASIC Products Division,NA
AVGO,Mr. Greg  Fischer,Sr. VP & GM of Broadband Carrier Access Products Division,NA
AVGO,Mr. Rich  Nelson,Sr. VP & GM of Set-Top Box & Cable Modem Products Division,NA
AVGO,Mr. Ed  Redmond,Sr. VP & GM of Compute & Connectivity Division,NA
ASML,Mr. Peter T. F. M. Wennink,"Chairman of the Management Board, Pres & CEO",1957
ASML,Mr. Martin A. van den Brink,"Vice Chairman of the Management Board, Pres & CTO",1957
ASML,Mr. Roger J. M. Dassen,"Exec. VP, CFO & Member of the Management Board",1965
ASML,Mr. Frederic J. M. Schneider-Maunoury,"Exec. VP, COO & Member of the Management Board",1961
ASML,Mr. Christophe D. Fouquet,"Exec. VP, Chief Bus. Officer & Member of Management Board",1973
ASML,Mr. Skip  Miller,VP of Investor Relations,NA
ASML,Mr. James  Koonmen,Exec. VP of Applications Bus.,NA
ASML,Ron  Kool,Exec. VP of Bus. Line DUV,NA
ASML,Mr. Wayne R. Allan,Exec. VP of Customer Support,1968
ASML,Rob Van Vliet,Investor Relations Mang.,NA
ORCL,Mr. Lawrence J. Ellison,"Co-Founder, Chairman & CTO",1944
ORCL,Ms. Safra Ada Catz,CEO & Director,1962
ORCL,Mr. Edward  Screven,Exec. VP & Chief Corp. Architect,1965
ORCL,Ms. Dorian E. Daley,Exec. VP,1959
ORCL,Ms. Ivgen  Guner,Exec. VP of Global Bus. Fin.,NA
ORCL,Mr. Douglas A. Kehring,Exec. VP of Corp. Operations,1973
ORCL,Mr. William Corey West,Chief Accounting Officer & Exec. VP,1962
ORCL,Mr. Mark E. Sunday,Sr. VP & Chief Information Officer,1955
ORCL,Ms. Jae  Evans,Chief Information Officer,NA
ORCL,Mr. Ken  Bond,Sr. VP of Investor Relations,NA
TMO,Mr. Marc N. Casper,"Chairman, Pres & CEO",1968
TMO,Mr. Stephen  Williamson,Sr. VP & CFO,1967
TMO,Mr. Michel  Lagarde,Exec. VP & COO,1975
TMO,Mr. Gianluca  Pettiti,Exec. VP,1979
TMO,Mr. Joseph R. Holmes,VP & Chief Accounting Officer,1980
TMO,Mr. Ryan J. Snyder,Sr. VP & Chief Information Officer,NA
TMO,Dr. Karen E. Nelson Ph.D.,Chief Scientific Officer & Member of Scientific Advisory Board,NA
TMO,Mr. Rafael  Tejada,VP of Investor Relations,NA
TMO,Mr. Michael A. Boxer Esq.,"Sr. VP, Gen. Counsel & Sec.",1962
TMO,Ms. Sandy B. Pound,VP & Chief Communications Officer,NA
AZN,"Mr. Pascal  Soriot D.V.M., M.B.A.",CEO & Exec. Director,1959
AZN,Dr. Aradhana  Sarin M.D.,CFO & Exec. Director,1975
AZN,Mr. Marc  Dunoyer,CEO of Alexion & Chief Strategy Officer,1952
AZN,Ms. Pam P. Cheng,EVP of Operations & Information Technology and Member of External Sustainability Advisory Board,1971
AZN,Mr. Chris  Sheldon,Head of Investor Relations,NA
AZN,Mr. Jeffrey  Pott,"Chief HR Officer, Gen. Counsel & Member of External Sustainability Advisory Board",NA
AZN,Ms. Katarina  Ageborg,"EVP of Sustainability, Chief Compliance Officer & Member of External Sustainability Advisory Board",NA
AZN,Gonzalo  Vina,Head of Global Media Relations,NA
AZN,Dr. Menelas  Pangalos Ph.D.,EVP of BioPharmaceuticals R&D and Member of External Sustainability Advisory Board,1967
AZN,Dr. Ruud  Dobber Ph.D.,Exec. Vice-Pres of BioPharmaceuticals Bus. Unit,NA
NVS,Dr. Vasant  Narasimhan,Chief Exec. Officer,1976
NVS,Mr. Harry  Kirsch,Chief Financial Officer,1965
NVS,Dr. Klaus  Moosmayer Ph.D.,"Chief Ethics, Risk & Compliance Officer",1968
NVS,Ms. Karen L. Hale,Chief Legal Officer,1968
NVS,Dr. Robert  Kowalski Pharm.D.,Chief People & Organization Officer,1968
NVS,Mr. Steffen  Lang Ph.D.,Pres of Operations,1967
NVS,Ms. Marie-France  Tschudin,Pres of Innovative Medicines International & Chief Commercial Officer,1971
NVS,Mr. Richard  Saynor,Chief Exec. Officer of Sandoz,1967
NVS,Paul  Penepent,Head of Group Financial Reporting and Accounting,NA
NVS,Dr. Samir  Shah M.D.,Global Head of Investor Relations,NA
COST,Mr. W. Craig Jelinek,CEO & Director,1952
COST,Mr. Ron M. Vachris,"Pres, COO & Director",1965
COST,Mr. Richard A. Galanti,"Exec. VP, CFO & Director",1956
COST,Mr. James P. Murphy,Exec. VP & COO of International Division,1953
COST,Mr. Russell D. Miller,Sr. Exec. VP of U.S. Operations,1957
COST,Mr. Patrick J. Callans,Exec. VP of Admin.,1962
COST,Mr. Robert E. Nelson III,Sr. VP of Financial Planning & Investor Relations and Treasury,NA
COST,Mr. John  Sullivan,"Exec. VP, Gen. Counsel & Corp. Sec.",1960
COST,Sandy  Torrey,"Sr. VP of Membership, Marketing, Services & Publishing",NA
COST,Mr. John D. Thelan,Sr. VP of Depots & Traffic,NA
SHEL,Mr. Ben  Van Beurden,CEO & Director,1958
SHEL,Ms. Sinead  Gorman,CFO & Director,1977
SHEL,Mr. Harry  Brekelmans,Projects & Technology Director,1965
SHEL,Tjerk  Huysinga,Exec. VP of Investor Relations,NA
SHEL,Mr. Donny  Ching,Legal Director,1964
SHEL,Mr. Ronan  Cassidy,Chief HR & Corp. Officer,1967
SHEL,"Ms. Ann Darlene Pickard BA, MA",Exec. VP of Arctic - Upstream Americas,1955
SHEL,Ms. Wai Kiew Loh,Head of global Shell Marine Products Bus.,NA
SHEL,Mr. Russell Ronald Caplan,Chairman of Australian Unit,1947
SHEL,Mr. Graham  van't Hoff,Exec. VP of Chemicals,1962
CSCO,Mr. Charles H. Robbins,Chairman & CEO,1966
CSCO,Mr. Richard Scott Herren,Exec. VP & CFO,1962
CSCO,Ms. Maria N. Martinez,Exec. VP & COO,1958
CSCO,Ms. Deborah L. Stahlkopf,"Exec. VP, Chief Legal Officer & Chief Compliance Officer",1970
CSCO,Mr. Jeffery S. Sharritts,Exec. VP and Chief Customer & Partner Officer,1969
CSCO,Mr. Pratik S. Bhatt,Sr. VP & Chief Accounting Officer,1967
CSCO,Mr. Andrew  Ashton,Sr. VP of Corp. Fin.,NA
CSCO,Mr. Fletcher  Previn,Sr. VP & Chief Information Officer,NA
CSCO,Ms. Marilyn  Mora,Director of Global Investor Relations,NA
CSCO,Ms. Maria  Poveromo,Sr. VP & Chief Communications Officer,NA
MCD,Mr. Christopher J. Kempczinski,"Pres, CEO & Director",1969
MCD,Mr. Ian Frederick Borden,Exec. VP & CFO,1969
MCD,Ms. Desiree  Ralls-Morrison,"Exec. VP, Chief Legal Officer & Corp. Sec.",1967
MCD,Mr. Kevin M. Ozan,Sr. Exec. VP of Strategic Initiatives,1963
MCD,Mr. Joseph  Erlinger,Pres of McDonald's USA,1974
MCD,Mr. Brian S. Rice,Exec. VP & Global Chief Information Officer,1963
